# gauntlet referee=vmc-material base_seed=0 paired_duels_per_pair=1 max_steps=4000 bootstrap_samples=2000 ci=block-bootstrap
# historical CSV: emitted before source ids were preserved in deck names; see subset-provenance-PI.txt
deck,games,wins,draws,losses,score,point_rate,ci_lo,ci_hi
UW Aggro,62,25,0,37,25.000,0.4032,0.2903,0.5323
UW Aggro,62,27,0,35,27.000,0.4355,0.3222,0.5484
Azorius Aggro,62,27,0,35,27.000,0.4355,0.3226,0.5645
UW Spirit Aggro,62,47,0,15,47.000,0.7581,0.6290,0.8710
Rhino Rock,62,33,0,29,33.000,0.5323,0.4194,0.6290
Spirits,62,32,0,30,32.000,0.5161,0.3871,0.6452
Spirit,62,43,0,19,43.000,0.6935,0.5806,0.8065
Sultai Control,62,26,0,36,26.000,0.4194,0.3065,0.5323
Sultai Control,62,33,0,29,33.000,0.5323,0.4194,0.6452
Rakdos PW Control,62,39,0,23,39.000,0.6290,0.5161,0.7419
Azorius Aggro,62,21,0,41,21.000,0.3387,0.2258,0.4516
Ub Emerge,62,24,0,38,24.000,0.3871,0.2581,0.5161
UW Spirit Aggro,62,37,0,25,37.000,0.5968,0.4677,0.7097
Hardened Snakes,62,21,0,41,21.000,0.3387,0.2258,0.4516
Gb Hardened Scales,62,29,0,33,29.000,0.4677,0.3548,0.5806
Gruul Aggro,62,47,0,15,47.000,0.7581,0.6452,0.8710
UW Spirit Aggro,62,41,0,21,41.000,0.6613,0.5484,0.7742
Harden Scales,62,19,0,43,19.000,0.3065,0.2097,0.4194
UW Spirit Aggro,62,42,0,20,42.000,0.6774,0.5806,0.7742
Golgari Scales,62,22,0,40,22.000,0.3548,0.2419,0.4677
Azorius Aggro,62,43,0,19,43.000,0.6935,0.5968,0.7903
Hardened Scales,62,19,0,43,19.000,0.3065,0.1935,0.4194
UW Spirit Aggro,62,40,0,22,40.000,0.6452,0.5161,0.7581
Golgari Scales,62,26,0,36,26.000,0.4194,0.2903,0.5484
Golgari Scales,62,18,0,44,18.000,0.2903,0.1935,0.4032
Gruul Aggro,62,50,0,12,50.000,0.8065,0.6935,0.9032
Golgari Scales,62,27,0,35,27.000,0.4355,0.3226,0.5484
Golgari Scales,62,23,0,39,23.000,0.3710,0.2581,0.4839
Golgari Scales,62,32,0,30,32.000,0.5161,0.3871,0.6452
UW Spirit Aggro,62,41,0,21,41.000,0.6613,0.5806,0.7419
Golgari Scales,62,15,0,47,15.000,0.2419,0.1452,0.3548
Golgari Scales,62,23,0,39,23.000,0.3710,0.2903,0.4516
