# Modern 43-deck gauntlet — vmc-material referee, 1 paired duel/pair (84 games/deck), block-bootstrap 95% CIs
# MTGTop8 (Kaggle) playable Modern subset; names = MTGTop8 archetype; sorted by point_rate desc
deck,games,wins,draws,losses,score,point_rate,ci_lo,ci_hi
Jund,84,53,0,31,53.000,0.6310,0.5357,0.7262
Jund,84,53,0,31,53.000,0.6310,0.5238,0.7381
Jund,84,52,0,32,52.000,0.6190,0.5238,0.7143
Jund,84,50,0,34,50.000,0.5952,0.5000,0.6905
Jund,84,49,0,35,49.000,0.5833,0.4881,0.6786
Jund,84,48,0,36,48.000,0.5714,0.4762,0.6667
Jund,84,48,0,36,48.000,0.5714,0.4762,0.6667
Jund,84,48,0,36,48.000,0.5714,0.4643,0.6786
Jund,84,47,0,37,47.000,0.5595,0.4405,0.6667
Jund,84,46,0,38,46.000,0.5476,0.4524,0.6432
Jund,84,46,0,38,46.000,0.5476,0.4405,0.6548
Jund,84,46,0,38,46.000,0.5476,0.4286,0.6548
Jund,84,45,0,39,45.000,0.5357,0.4524,0.6190
Jund,84,45,0,39,45.000,0.5357,0.4405,0.6310
Jund,84,45,0,39,45.000,0.5357,0.4405,0.6310
Jund,84,45,0,39,45.000,0.5357,0.4405,0.6310
Jund,84,45,0,39,45.000,0.5357,0.4405,0.6190
Jund,84,44,0,40,44.000,0.5238,0.4286,0.6190
Jund,84,43,0,41,43.000,0.5119,0.4283,0.6071
Jund,84,43,0,41,43.000,0.5119,0.4167,0.6074
Jund,84,42,0,42,42.000,0.5000,0.4048,0.5952
Jund,84,42,0,42,42.000,0.5000,0.4048,0.5833
Jund,84,42,0,42,42.000,0.5000,0.3929,0.6071
Jund,84,41,0,43,41.000,0.4881,0.3929,0.5714
Jund,84,41,0,43,41.000,0.4881,0.3690,0.5952
Jund,84,40,0,44,40.000,0.4762,0.3929,0.5595
Jund,84,40,0,44,40.000,0.4762,0.3810,0.5714
Jund,84,40,0,44,40.000,0.4762,0.3690,0.5833
Jund,84,39,0,45,39.000,0.4643,0.3810,0.5595
Jund,84,39,0,45,39.000,0.4643,0.3571,0.5714
Jund,84,39,0,45,39.000,0.4643,0.3452,0.5833
Jund,84,39,0,45,39.000,0.4643,0.3452,0.5714
Jund,84,38,0,46,38.000,0.4524,0.3571,0.5476
Jund,84,38,0,46,38.000,0.4524,0.3571,0.5476
Jund,84,37,0,47,37.000,0.4405,0.3571,0.5357
Jund,84,37,0,47,37.000,0.4405,0.3452,0.5476
Jund,84,37,0,47,37.000,0.4405,0.3333,0.5476
Jund,84,36,0,48,36.000,0.4286,0.3330,0.5238
4/5c Good Stuff,84,34,0,50,34.000,0.4048,0.3095,0.5000
Jund,84,33,0,51,33.000,0.3929,0.2976,0.4881
Jund,84,32,0,52,32.000,0.3810,0.2857,0.4762
Jund,84,30,0,54,30.000,0.3571,0.2500,0.4643
Jund,84,29,0,55,29.000,0.3452,0.2500,0.4286
