# Pioneer 62-deck gauntlet — vmc-material referee, 1 paired duel/pair (122 games/deck), block-bootstrap 95% CIs
# gauntlet referee=vmc-material base_seed=0 paired_duels_per_pair=1 max_steps=4000 bootstrap_samples=2000 ci=block-bootstrap
# MTGTop8 (Kaggle) playable Pioneer subset; rows sorted by point_rate desc; names = MTGTop8 archetype
deck,games,wins,draws,losses,score,point_rate,ci_lo,ci_hi
Gruul Aggro,122,109,0,13,109.000,0.8934,0.8361,0.9428
Red Deck Wins,122,102,0,20,102.000,0.8361,0.7705,0.9016
Gruul Aggro,122,102,0,20,102.000,0.8361,0.7787,0.8934
Red Deck Wins,122,101,0,21,101.000,0.8279,0.7623,0.8934
Red Deck Wins,122,98,0,24,98.000,0.8033,0.7377,0.8689
Rg Aggro,122,97,0,25,97.000,0.7951,0.7213,0.8607
Red Deck Wins,122,96,0,26,96.000,0.7869,0.7131,0.8525
Rhino Rock,122,93,0,29,93.000,0.7623,0.6803,0.8361
Gruul Aggro,122,93,0,29,93.000,0.7623,0.6803,0.8281
Red Deck Wins,122,89,0,33,89.000,0.7295,0.6473,0.8115
Rakdos Aggro,122,86,0,36,86.000,0.7049,0.6148,0.7951
Rakdos PW Control,122,82,0,40,82.000,0.6721,0.5902,0.7541
Sultai Aggro,122,80,0,42,80.000,0.6557,0.5656,0.7459
UW Spirit Aggro,122,79,0,43,79.000,0.6475,0.5574,0.7295
Golgari Scales,122,77,0,45,77.000,0.6311,0.5410,0.7213
UW Spirit Aggro,122,75,0,47,75.000,0.6148,0.5164,0.7049
Azorius Aggro,122,75,0,47,75.000,0.6148,0.5246,0.7049
UW Spirit Aggro,122,74,0,48,74.000,0.6066,0.5164,0.6967
Spirit,122,74,0,48,74.000,0.6066,0.5164,0.6885
UW Spirit Aggro,122,73,0,49,73.000,0.5984,0.5082,0.6885
UW Spirit Aggro,122,72,0,50,72.000,0.5902,0.4918,0.6885
UW Spirit Aggro,122,71,0,51,71.000,0.5820,0.4836,0.6723
Sultai Control,122,71,0,51,71.000,0.5820,0.4918,0.6721
Azorius Aggro,122,71,0,51,71.000,0.5820,0.4998,0.6639
Azorius Aggro,122,70,0,52,70.000,0.5738,0.4754,0.6721
Red Deck Wins,122,69,0,53,69.000,0.5656,0.4836,0.6475
Ub Emerge,122,68,0,54,68.000,0.5574,0.4672,0.6475
Rakdos Deck Wins,122,64,0,58,64.000,0.5246,0.4262,0.6148
Temur Aggro,122,60,0,62,60.000,0.4918,0.4096,0.5738
Spirits,122,60,0,62,60.000,0.4918,0.3934,0.5902
UW Aggro,122,59,0,63,59.000,0.4836,0.3934,0.5656
UW Aggro,122,59,0,63,59.000,0.4836,0.3852,0.5820
Sultai Control,122,57,0,65,57.000,0.4672,0.3686,0.5738
Golgari Scales,122,54,0,68,54.000,0.4426,0.3361,0.5492
Golgari Scales Aggro,122,52,0,70,52.000,0.4262,0.3361,0.5164
Gb Hardened Scales,122,52,0,70,52.000,0.4262,0.3361,0.5082
Hardened Golgari,122,51,0,71,51.000,0.4180,0.3279,0.5164
Azorius Aggro,122,49,0,73,49.000,0.4016,0.3115,0.5000
Golgari Aggro Hardened Scales,122,47,0,75,47.000,0.3852,0.3033,0.4672
Gb Hardened Scales,122,47,0,75,47.000,0.3852,0.3033,0.4672
Golgari Scales,122,46,0,76,46.000,0.3770,0.2869,0.4672
Hardened Scales,122,45,0,77,45.000,0.3689,0.2867,0.4508
Golgari Scales,122,45,0,77,45.000,0.3689,0.2869,0.4508
Golgari Aggro,122,45,0,77,45.000,0.3689,0.2787,0.4590
Hardened Scales,122,44,0,78,44.000,0.3607,0.2705,0.4508
Golgari Scales,122,44,0,78,44.000,0.3607,0.2869,0.4426
Golgari Scales,122,41,0,81,41.000,0.3361,0.2623,0.4180
Golgari Scales,122,39,0,83,39.000,0.3197,0.2295,0.4098
Golgari Aggro,122,39,0,83,39.000,0.3197,0.2295,0.4098
Harden Scales,122,38,0,84,38.000,0.3115,0.2295,0.3934
Hardened Golgari,122,38,0,84,38.000,0.3115,0.2213,0.4016
Golgari Scales,122,37,0,85,37.000,0.3033,0.2213,0.3852
Devotion to Golgari,122,37,0,85,37.000,0.3033,0.2213,0.3852
Golgari Scales,122,36,0,86,36.000,0.2951,0.2131,0.3852
Hardened Snakes,122,35,0,87,35.000,0.2869,0.2131,0.3525
Hardened Scales,122,35,0,87,35.000,0.2869,0.2131,0.3607
Golgari Scales,122,35,0,87,35.000,0.2869,0.1967,0.3770
Golgari Hardened Scales,122,35,0,87,35.000,0.2869,0.2131,0.3770
Golgari Scales,122,33,0,89,33.000,0.2705,0.1967,0.3443
Golgari Scales,122,33,0,89,33.000,0.2705,0.1885,0.3525
Golgari Aggro,122,33,0,89,33.000,0.2705,0.1885,0.3525
Temur Midrange,122,11,0,111,11.000,0.0902,0.0410,0.1475
