# gauntlet referee=pimc base_seed=0 paired_duels_per_pair=1 max_steps=4000 bootstrap_samples=2000 ci=block-bootstrap
# pimc_budget samples=8 cap=80 max_candidates=8
# historical CSV: emitted before source ids were preserved in deck names; see subset-provenance-PI.txt
deck,games,wins,draws,losses,score,point_rate,ci_lo,ci_hi
Gruul Aggro,22,15,0,7,15.000,0.6818,0.5455,0.8182
Azorius Aggro,22,11,0,11,11.000,0.5000,0.2727,0.7273
UW Spirit Aggro,22,11,0,11,11.000,0.5000,0.2727,0.7273
Rhino Rock,22,14,0,8,14.000,0.6364,0.4545,0.8182
Golgari Scales,22,13,0,9,13.000,0.5909,0.3636,0.7727
Sultai Control,22,8,0,14,8.000,0.3636,0.1364,0.6364
Hardened Scales,22,7,0,15,7.000,0.3182,0.0909,0.5909
Temur Midrange,22,2,0,20,2.000,0.0909,0.0000,0.2273
Rg Aggro,22,18,0,4,18.000,0.8182,0.6818,0.9545
Gb Hardened Scales,22,4,0,18,4.000,0.1818,0.0000,0.4091
Rakdos Aggro,22,14,0,8,14.000,0.6364,0.4545,0.8182
Red Deck Wins,22,15,0,7,15.000,0.6818,0.5455,0.8182
