deck,games,wins,draws,losses,score,point_rate,ci_lo,ci_hi
Gruul Aggro,44,27,0,17,27.000,0.6136,0.4545,0.7500
Azorius Aggro,44,22,0,22,22.000,0.5000,0.3636,0.6364
UW Spirit Aggro,44,27,0,17,27.000,0.6136,0.4318,0.7727
Rhino Rock,44,26,0,18,26.000,0.5909,0.4313,0.7500
Golgari Scales,44,16,0,28,16.000,0.3636,0.2273,0.5000
Sultai Control,44,19,0,25,19.000,0.4318,0.2727,0.5909
Hardened Scales,44,9,0,35,9.000,0.2045,0.0909,0.3409
Temur Midrange,44,3,0,41,3.000,0.0682,0.0000,0.1364
Rg Aggro,44,32,0,12,32.000,0.7273,0.5909,0.8636
Gb Hardened Scales,44,15,0,29,15.000,0.3409,0.1818,0.5227
Rakdos Aggro,44,30,0,14,30.000,0.6818,0.5455,0.8182
Red Deck Wins,44,38,0,6,38.000,0.8636,0.7727,0.9545
